Course Code,Course Name,CRN,Type,Section,Time,Day,Instructor,Room Number,Building
PSYC 500,Professional Develop for Psych,69566,Lecture-Discussion,A,12:00PM - 01:50PM,W,"Tancredy, C",11,Psychology Building
PSYC 506,Statistical Methods I,67807,Laboratory,AB1,03:00PM - 04:50PM,F,"Koehn, H",17,Psychology Building
PSYC 506,Statistical Methods I,70083,Lecture,AL1,03:00PM - 04:50PM,MW,"Koehn, H",207,Psychology Building
PSYC 514,Seminar in Cognitive Science,48220,Lecture-Discussion,A,03:30PM - 04:50PM,TR,"Hummel, J",1002,Lincoln Hall
PSYC 530,Found of Ind Org Psych,38075,Lecture,A,01:00PM - 03:50PM,T,"Alexander, L",608,Psychology Building
PSYC 535,Cultural Psychology,77376,Lecture-Discussion,A,02:00PM - 03:50PM,R,"Cohen, D",819,Psychology Building
PSYC 538,Intro to Clin-Comm Psych I,30712,Lecture-Discussion,A,10:00AM - 11:50AM,M,"Hankin, B",708,Psychology Building
PSYC 548,Modeling Heterogeneity,79649,Lecture,A,03:00PM - 05:50PM,W,"Regenwetter, M",21,Psychology Building
PSYC 570,Principles and Methods of Teaching Psychology,56522,Discussion/ Recitation,001,03:00PM - 04:50PM,F,"Kwapil, T",708,Psychology Building
PSYC 570,Principles and Methods of Teaching Psychology,56520,Discussion/ Recitation,100,03:00PM - 03:50PM,W,"Travis, L",608,Psychology Building
PSYC 572,Statistical Practices in Psychology,79645,Lecture-Discussion,A,10:00AM - 11:50AM,T,"Simons, D",819,Psychology Building
PSYC 593,Seminar,55775,Lecture-Discussion,DIV,11:00AM - 12:50PM,F,"Hunter, C",708,Psychology Building
PSYC 593,Seminar,79646,Lecture,ES,10:00AM - 11:30AM,M,"Seaton, E",819,Psychology Building
PSYC 593,Seminar,39837,Lecture-Discussion,JJ,02:00PM - 03:20PM,F,"Goense, J",815,Psychology Building
PSYC 593,Seminar,79712,Lecture,JWW,01:00PM - 03:00PM,M,"Willits, J",815,Psychology Building
PSYC 593,Seminar,38112,Lecture-Discussion,MTR,09:00AM - 10:20AM,W,"Rizzo, M",,
PSYC 593,Seminar,49460,Lecture-Discussion,VC,09:00AM - 10:20AM,TR,"Cervantes Botero, V",815,Psychology Building
PSYC 594,Multivar Anlys in Psych and Ed,38133,Lecture-Discussion,A,02:30PM - 03:50PM,TR,"Xia, Y",138,Henry Administration Bldg
PSYC 595,Theories of Measurement I,34112,Lecture-Discussion,A,01:00PM - 03:50PM,T,"Zhang, J",,
PSYC 598,Proseminar in Psychology,57475,Lecture-Discussion,A&P,02:00PM - 03:20PM,T,"Uddenberg, S",819,Psychology Building
PSYC 598,Proseminar in Psychology,57461,Lecture-Discussion,BN,12:30PM - 01:20PM,R,"Liang, N",819,Psychology Building
PSYC 598,Proseminar in Psychology,57463,Lecture-Discussion,CC,09:30AM - 10:50AM,F,"Berenbaum, H",819,Psychology Building
PSYC 598,Proseminar in Psychology,57459,Lecture-Discussion,CN,12:00PM - 01:20PM,M,"Dolcos, F",2269,Beckman Institute
PSYC 598,Proseminar in Psychology,57465,Lecture-Discussion,COG,12:00PM - 01:20PM,F,"Willits, J",819,Psychology Building
PSYC 598,Proseminar in Psychology,57467,Lecture-Discussion,DEV,01:30PM - 02:50PM,F,"Seaton, E",819,Psychology Building
PSYC 598,Proseminar in Psychology,57469,Lecture-Discussion,IO,10:00AM - 11:20AM,R,"Newman, D",819,Psychology Building
PSYC 598,Proseminar in Psychology,59016,Conference,LC,12:00PM - 01:20PM,W,"Montag, J",815,Psychology Building
PSYC 598,Proseminar in Psychology,59019,Lecture-Discussion,PJC,02:00PM - 03:50PM,M,"Briley, DDerringer, JFraley, RRoberts, B",819,Psychology Building
PSYC 598,Proseminar in Psychology,57471,Lecture-Discussion,QUA,01:30PM - 02:50PM,W,"Cervantes Botero, V",819,Psychology Building
PSYC 598,Proseminar in Psychology,57676,Lecture-Discussion,SJC,10:00AM - 11:00AM,M,"Kurdi, B",815,Psychology Building
PSYC 598,Proseminar in Psychology,57473,Lecture-Discussion,SPO,12:00PM - 01:20PM,M,"Rios, K",819,Psychology Building
QUEC 410,Beginning Quechua I,77348,Lecture-Discussion,MV1,10:00AM - 10:50AM,MWF,"Molina-Vital, C",301,Architecture Building
